Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Rice,Clayey,28.69,161.53,109.18,531.62,Potato
Chilli,Loamy,30.53,263.83,62.04,690.52,Tomato
Corn,Loamy,22.72,392.54,102.83,486.49,Peach
Peach,Loamy,34.41,300.16,52.93,592.07,Tomato
Peach,Loamy,27.23,353.0,83.81,328.75,Peach
Rice,Loamy,26.7,200.5,97.79,461.62,Corn
Tomato,Sandy,31.64,381.77,83.67,372.58,Soybean
Rice,Sandy,35.31,258.76,106.24,480.33,Soybean
Rice,Sandy,20.48,224.75,110.8,671.21,Soybean
Rice,Saline,20.98,280.83,110.3,389.65,Rice
Corn,Saline,21.92,349.4,75.84,600.73,Rice
Bell Pepper,Clayey,36.92,346.97,99.05,699.65,Potato
Peach,Saline,37.11,245.77,51.34,508.87,Chilli
Rice,Clayey,32.77,193.97,55.79,476.17,Potato
Corn,Sandy,20.92,186.85,84.33,651.14,Soybean
Corn,Loamy,35.02,217.63,76.67,422.92,Tomato
Rice,Loamy,37.35,382.21,60.53,662.43,Tomato
Corn,Clayey,38.31,203.27,68.63,472.49,Potato
Chilli,Clayey,36.05,306.52,90.03,368.52,Corn
Rice,Loamy,28.97,214.99,55.34,637.4,Rice
Maize,Clayey,29.18,358.45,106.77,508.49,Potato
Chilli,Loamy,29.94,322.99,80.62,603.73,Maize
Bell Pepper,Sandy,29.48,362.78,97.28,307.81,Soybean
Tomato,Clayey,30.29,264.13,110.39,691.42,Potato
Soybean,Sandy,21.63,293.63,64.77,511.95,Maize
Potato,Clayey,36.29,208.26,96.4,619.38,Potato
Rice,Sandy,20.06,179.69,61.91,545.78,Maize
Peach,Sandy,20.62,372.93,58.76,425.18,Maize
Chilli,Saline,20.53,221.06,68.01,403.47,Chilli
Soybean,Saline,38.0,332.86,55.99,689.86,Rice
Maize,Clayey,39.91,202.58,87.73,458.23,Potato
Potato,Clayey,25.94,251.87,108.14,392.07,Corn
Tomato,Sandy,22.51,397.12,66.42,519.49,Maize
Tomato,Sandy,20.38,176.69,110.7,525.58,Soybean
Tomato,Loamy,38.04,207.97,58.55,519.93,Tomato
Tomato,Saline,27.15,333.52,54.82,586.88,Rice
Potato,Sandy,29.85,177.15,66.57,328.01,Maize
Maize,Clayey,27.5,361.78,117.07,487.25,Potato
Chilli,Loamy,38.14,156.18,90.19,544.76,Bell Pepper
Maize,Saline,36.65,275.68,91.82,427.1,Rice
Peach,Loamy,37.92,244.19,107.71,458.57,Tomato
Corn,Sandy,28.6,182.18,92.46,683.21,Soybean
Rice,Loamy,24.34,310.98,91.73,618.33,Soybean
Potato,Clayey,32.04,391.16,51.81,337.12,Corn
Corn,Clayey,24.22,297.28,103.65,365.49,Corn
Chilli,Sandy,26.5,199.86,76.06,404.55,Maize
Tomato,Loamy,38.9,174.52,93.38,393.13,Bell Pepper
Rice,Sandy,37.42,350.06,90.69,416.01,Soybean
Rice,Saline,28.74,361.88,114.26,495.98,Rice
Tomato,Sandy,26.41,302.65,100.41,511.95,Soybean
Tomato,Sandy,31.58,151.98,53.0,688.69,Maize
Corn,Saline,35.26,174.44,90.18,657.17,Chilli
Bell Pepper,Loamy,23.88,322.85,55.0,487.57,Soybean
Rice,Clayey,38.14,224.32,74.89,426.45,Potato
Corn,Clayey,23.75,219.29,89.67,411.39,Peach
Maize,Loamy,32.2,243.98,78.48,328.73,Tomato
Maize,Sandy,31.0,350.03,68.65,569.88,Maize
Chilli,Clayey,26.58,347.18,58.71,519.92,Potato
Corn,Sandy,31.23,215.48,50.41,518.14,Maize
Rice,Saline,37.6,339.18,88.42,506.77,Rice
Chilli,Clayey,26.61,218.01,110.97,607.49,Potato
Bell Pepper,Sandy,37.71,193.94,65.81,698.99,Maize
Chilli,Sandy,21.25,377.56,54.37,630.33,Maize
Potato,Sandy,30.68,257.35,53.05,490.02,Maize
Maize,Clayey,25.86,306.59,93.36,545.84,Potato
Tomato,Sandy,38.61,188.12,82.58,473.28,Soybean
Chilli,Clayey,20.94,176.24,65.21,467.24,Maize
Rice,Clayey,20.37,336.55,62.15,568.02,Maize
Chilli,Clayey,36.19,338.45,96.01,395.81,Corn
Peach,Clayey,34.79,315.61,97.41,518.39,Potato
Tomato,Loamy,23.1,261.77,110.84,565.29,Rice
Bell Pepper,Saline,38.84,365.42,50.23,402.09,Rice
Potato,Saline,37.48,164.99,99.71,348.75,Chilli
Peach,Clayey,24.86,349.88,113.19,507.03,Bell Pepper
Bell Pepper,Sandy,33.69,219.47,106.53,343.55,Soybean
Corn,Clayey,28.57,376.34,107.76,466.16,Potato
Maize,Sandy,31.21,200.63,81.73,621.53,Soybean
Peach,Loamy,35.82,180.43,52.89,384.75,Bell Pepper
Corn,Saline,32.62,226.03,68.44,371.94,Chilli
Maize,Clayey,21.88,230.38,52.69,540.43,Peach
Peach,Loamy,32.12,314.27,88.64,591.05,Tomato
Chilli,Clayey,23.71,188.7,97.17,500.47,Corn
Maize,Clayey,28.92,225.74,118.35,551.76,Potato
Maize,Loamy,27.86,301.37,98.53,623.36,Peach
Peach,Sandy,21.67,221.36,112.36,559.67,Soybean
Chilli,Sandy,21.98,249.2,56.2,690.16,Maize
Chilli,Sandy,35.75,182.92,108.09,621.8,Soybean
Corn,Clayey,31.52,177.84,67.2,523.87,Potato
Tomato,Sandy,39.47,335.26,61.78,320.12,Maize
Corn,Sandy,39.03,166.63,119.43,572.15,Soybean
Rice,Clayey,23.81,391.4,72.95,567.82,Potato
Bell Pepper,Loamy,37.11,327.46,71.7,522.23,Tomato
Potato,Saline,26.52,346.19,106.78,625.61,Rice
Rice,Sandy,23.44,271.29,91.52,314.18,Soybean
Bell Pepper,Loamy,29.03,204.99,57.53,337.95,Chilli
Maize,Clayey,25.7,383.73,85.16,483.07,Potato
Soybean,Clayey,30.17,394.3,109.81,656.31,Potato
Corn,Sandy,32.96,392.96,90.99,463.9,Soybean
Bell Pepper,Sandy,26.07,235.92,104.88,387.51,Soybean
Maize,Loamy,30.88,241.73,51.53,699.92,Tomato
Rice,Sandy,32.51,231.81,102.83,541.36,Soybean
Maize,Loamy,32.32,183.86,107.02,381.64,Bell Pepper
Peach,Clayey,38.49,302.19,69.31,366.39,Corn
Rice,Loamy,32.97,341.38,81.77,511.37,Tomato
Rice,Clayey,26.65,366.91,92.71,431.46,Potato
Maize,Sandy,21.89,262.88,98.44,381.79,Soybean
Rice,Saline,29.74,162.82,83.38,669.68,Chilli
Potato,Loamy,31.52,239.32,117.58,350.84,Tomato
Rice,Saline,31.13,189.77,87.55,641.44,Chilli
Corn,Loamy,31.0,285.91,83.28,501.59,Tomato
Tomato,Loamy,27.51,321.87,97.97,688.67,Rice
Peach,Saline,39.15,248.14,93.5,699.92,Chilli
Rice,Saline,32.26,360.66,119.85,409.7,Rice
Peach,Sandy,24.45,334.98,53.39,409.67,Maize
Rice,Saline,20.13,227.38,56.21,448.31,Chilli
Bell Pepper,Saline,31.4,165.8,102.72,598.01,Chilli
Soybean,Sandy,34.93,242.14,54.41,629.35,Maize
Potato,Saline,22.19,326.95,84.2,527.4,Rice
Rice,Saline,29.33,365.52,116.38,473.02,Rice
Peach,Sandy,39.44,295.68,54.81,515.54,Maize
Tomato,Saline,29.89,222.24,77.79,409.79,Chilli
Soybean,Loamy,37.07,210.36,76.59,538.61,Tomato
Soybean,Loamy,22.81,168.42,107.61,664.46,Tomato
Peach,Saline,29.04,182.36,67.95,365.18,Chilli
Corn,Saline,27.07,375.09,112.49,364.41,Rice
Soybean,Saline,20.57,181.19,89.88,614.24,Chilli
Potato,Clayey,30.42,269.42,119.73,447.27,Potato
Tomato,Saline,27.97,165.35,80.42,402.51,Chilli
Bell Pepper,Loamy,32.23,166.3,60.09,341.78,Bell Pepper
Tomato,Saline,30.93,250.83,80.59,614.08,Rice
Tomato,Clayey,29.07,172.33,100.4,437.78,Potato
Chilli,Sandy,22.02,371.87,55.93,335.53,Maize
Corn,Clayey,28.85,171.49,73.61,329.77,Corn
Maize,Clayey,39.42,334.36,117.36,684.1,Potato
Potato,Loamy,25.49,360.97,113.06,634.64,Bell Pepper
Peach,Saline,27.7,251.76,117.78,394.0,Rice
Tomato,Loamy,36.83,172.79,114.07,439.26,Bell Pepper
Corn,Clayey,30.4,176.47,115.45,452.53,Potato
Bell Pepper,Clayey,20.04,386.56,95.57,383.89,Rice
Peach,Saline,30.79,305.3,56.07,506.91,Rice
Corn,Sandy,37.44,167.41,77.79,628.5,Maize
Potato,Loamy,33.81,303.31,119.38,665.32,Tomato
Maize,Sandy,35.14,165.71,78.87,377.68,Maize
Bell Pepper,Clayey,20.77,270.64,86.8,402.15,Potato
Potato,Sandy,23.58,371.26,65.35,335.11,Maize
Peach,Loamy,31.7,277.92,69.52,438.53,Tomato
Potato,Clayey,23.06,239.75,100.05,651.54,Soybean
Soybean,Clayey,35.08,205.76,112.35,338.92,Corn
Rice,Sandy,24.54,237.36,64.18,470.38,Maize
Soybean,Saline,26.36,372.4,102.28,351.16,Rice
Soybean,Saline,20.83,226.18,53.52,531.77,Chilli
Rice,Loamy,28.53,241.45,69.78,403.0,Chilli
Maize,Saline,25.11,348.19,73.68,564.2,Rice
Maize,Clayey,20.66,160.83,62.9,627.17,Tomato
Corn,Clayey,22.68,298.58,64.45,633.24,Corn
Corn,Sandy,27.85,157.63,73.6,403.35,Maize
Potato,Clayey,26.85,150.65,89.34,498.5,Potato
Chilli,Clayey,37.22,238.75,67.08,656.77,Potato
Chilli,Loamy,26.06,196.82,101.43,690.44,Corn
Corn,Saline,28.3,172.04,105.68,380.49,Chilli
Soybean,Saline,28.17,341.21,92.29,450.41,Rice
Potato,Saline,31.98,323.06,83.64,629.54,Rice
Peach,Loamy,38.06,367.81,93.65,339.79,Tomato
Maize,Saline,33.49,205.5,54.75,510.39,Chilli
Chilli,Sandy,36.77,270.19,88.18,688.49,Soybean
Bell Pepper,Saline,23.74,397.07,115.06,315.93,Rice
Tomato,Clayey,36.79,269.63,91.42,442.58,Potato
Peach,Loamy,34.0,277.53,91.42,545.96,Tomato
Peach,Sandy,25.9,169.4,75.71,438.3,Maize
Potato,Loamy,37.91,353.78,113.82,367.39,Tomato
Potato,Sandy,33.3,266.94,62.27,670.9,Maize
Maize,Sandy,29.36,227.56,64.13,330.47,Maize
Rice,Clayey,34.09,324.77,84.26,301.18,Corn
Chilli,Saline,20.13,286.09,98.12,377.33,Rice
Rice,Saline,26.47,394.37,92.14,514.07,Rice
Chilli,Sandy,35.53,266.28,100.39,562.14,Soybean
Tomato,Sandy,37.18,378.04,100.91,552.94,Soybean
Soybean,Saline,36.0,272.68,69.64,404.82,Rice
Bell Pepper,Loamy,34.62,264.16,51.24,681.17,Tomato
Maize,Sandy,29.95,165.66,92.88,454.9,Soybean
Rice,Sandy,23.79,368.53,64.85,620.53,Maize
Tomato,Loamy,22.22,377.04,56.99,519.72,Maize
Rice,Loamy,38.48,150.11,67.03,502.69,Bell Pepper
Tomato,Saline,24.22,164.77,66.94,689.68,Chilli
Bell Pepper,Saline,24.91,240.54,109.39,324.8,Chilli
Chilli,Loamy,34.44,204.26,106.47,671.0,Tomato
Peach,Loamy,35.12,233.58,53.88,309.84,Tomato
Tomato,Clayey,28.16,200.03,112.82,469.32,Potato
Soybean,Clayey,21.5,334.52,83.26,657.35,Rice
Tomato,Saline,29.69,151.15,84.95,576.51,Chilli
Bell Pepper,Sandy,36.25,365.57,103.32,543.22,Soybean
Rice,Loamy,37.64,194.52,58.88,664.47,Bell Pepper
Soybean,Saline,33.0,291.8,92.93,599.8,Rice
Maize,Clayey,33.69,307.12,91.55,365.95,Corn
Rice,Sandy,20.48,229.65,84.47,698.35,Soybean
Maize,Clayey,24.26,286.27,114.43,538.93,Soybean
Peach,Clayey,34.94,282.1,92.16,684.58,Potato
Soybean,Clayey,30.61,176.69,92.93,386.22,Corn
Corn,Sandy,31.74,259.58,82.86,601.67,Soybean
Potato,Clayey,36.21,358.78,64.73,610.33,Potato
Potato,Saline,33.39,387.1,68.02,337.57,Rice
Tomato,Sandy,28.4,168.55,102.12,505.78,Soybean
Rice,Loamy,39.48,202.51,62.13,462.4,Tomato
Rice,Loamy,24.84,301.8,88.66,658.55,Potato
Corn,Loamy,26.8,246.25,69.19,558.22,Rice
Maize,Loamy,33.35,178.15,59.06,552.05,Bell Pepper
Soybean,Clayey,24.64,167.71,90.41,314.42,Rice
Tomato,Clayey,27.61,363.05,68.43,485.12,Potato
Soybean,Loamy,33.83,286.57,64.86,429.5,Tomato
Chilli,Sandy,26.76,235.97,88.69,500.76,Soybean
Tomato,Clayey,21.14,328.11,86.44,692.95,Soybean
Tomato,Clayey,31.2,344.76,111.34,567.16,Potato
Rice,Sandy,35.4,270.21,79.96,364.96,Maize
Corn,Sandy,34.86,211.22,64.47,330.89,Maize
Potato,Saline,32.42,218.55,94.67,665.37,Chilli
Soybean,Sandy,35.31,200.1,105.42,369.46,Soybean
Potato,Loamy,23.99,279.53,61.95,658.18,Chilli
Soybean,Loamy,34.68,257.48,61.96,404.99,Tomato
Tomato,Sandy,21.0,257.93,111.78,441.74,Soybean
Rice,Saline,34.8,283.24,87.14,599.15,Rice
Corn,Saline,21.01,300.44,107.58,302.49,Rice
Tomato,Loamy,35.43,191.97,107.14,479.71,Bell Pepper
Tomato,Loamy,37.7,245.61,102.2,656.07,Tomato
Tomato,Sandy,36.58,154.12,81.46,440.78,Soybean
Soybean,Clayey,26.97,352.68,83.12,683.63,Potato
Rice,Saline,39.5,202.73,106.9,388.89,Chilli
Peach,Loamy,30.37,392.27,99.43,592.43,Tomato
Chilli,Sandy,27.58,368.7,91.17,324.16,Soybean
Tomato,Sandy,31.65,311.14,81.39,504.61,Soybean
Peach,Sandy,26.1,211.38,114.8,563.67,Soybean
Tomato,Saline,23.57,150.7,74.13,402.99,Chilli
Potato,Clayey,23.27,265.93,50.38,459.8,Maize
Chilli,Sandy,23.39,277.48,97.28,452.45,Soybean
Corn,Sandy,24.57,334.61,105.02,556.97,Soybean
Potato,Clayey,37.73,157.48,115.52,682.73,Potato
Peach,Sandy,28.09,278.78,111.22,453.9,Soybean
Maize,Loamy,20.0,339.05,87.47,685.14,Peach
Bell Pepper,Saline,26.08,258.36,112.7,603.07,Rice
Tomato,Clayey,39.92,264.56,68.28,483.3,Potato
Potato,Clayey,34.72,352.8,116.27,386.22,Corn
Corn,Saline,30.08,266.02,103.32,670.65,Rice
Potato,Sandy,22.55,311.35,86.5,658.56,Soybean
Soybean,Saline,29.11,342.25,61.97,656.8,Rice
Potato,Loamy,32.79,365.33,96.26,549.96,Tomato
Maize,Clayey,38.38,329.3,119.8,460.59,Potato
Chilli,Sandy,29.84,182.63,98.96,379.01,Soybean
Peach,Sandy,30.96,330.77,76.87,448.12,Maize
Bell Pepper,Saline,31.35,158.98,77.96,486.65,Chilli
Bell Pepper,Clayey,39.02,337.1,102.72,464.89,Potato
Maize,Saline,26.78,237.87,69.1,625.84,Chilli
Rice,Clayey,37.21,212.8,107.69,434.49,Potato
Tomato,Saline,28.63,380.06,62.75,503.86,Rice
Soybean,Sandy,34.82,380.43,81.96,519.52,Soybean
Bell Pepper,Saline,29.66,220.68,86.99,400.84,Chilli
Corn,Clayey,31.09,286.46,74.37,508.3,Potato
Corn,Loamy,26.58,241.84,57.56,367.15,Tomato
Tomato,Saline,28.29,182.41,68.36,621.24,Chilli
Peach,Loamy,30.51,246.86,55.71,636.78,Tomato
Peach,Sandy,32.09,323.81,64.09,321.85,Maize
Chilli,Saline,27.41,177.32,56.8,459.28,Chilli
Rice,Loamy,36.68,223.22,73.71,569.52,Tomato
Bell Pepper,Saline,34.38,181.31,63.48,677.71,Chilli
Potato,Saline,29.03,175.11,86.58,406.59,Chilli
Potato,Sandy,34.7,168.42,119.3,591.01,Soybean
Maize,Clayey,20.13,253.08,91.1,548.4,Rice
Potato,Clayey,31.87,319.23,54.11,558.63,Potato
Bell Pepper,Saline,30.51,259.9,87.81,597.25,Rice
Tomato,Sandy,30.29,215.5,114.07,354.13,Soybean
Peach,Saline,32.07,334.25,65.61,566.91,Rice
Maize,Sandy,36.05,230.65,114.14,489.34,Soybean
Potato,Clayey,20.92,163.2,98.54,679.93,Tomato
Chilli,Sandy,22.98,160.78,88.47,489.16,Soybean
Tomato,Saline,20.19,366.86,66.83,418.51,Rice
Tomato,Loamy,24.76,160.5,94.43,326.66,Corn
Maize,Loamy,39.55,214.45,56.58,566.26,Tomato
Corn,Saline,27.47,234.18,66.31,343.49,Chilli
Maize,Loamy,31.54,233.12,113.38,338.21,Tomato
Maize,Saline,39.8,357.77,66.24,422.22,Rice
Potato,Saline,32.55,250.47,75.17,685.21,Rice
Maize,Clayey,23.42,340.12,63.82,311.62,Rice
Rice,Clayey,36.1,170.62,75.71,456.43,Potato
Chilli,Clayey,31.04,349.83,72.44,302.46,Corn
Potato,Saline,39.91,254.77,80.59,566.63,Rice
Bell Pepper,Sandy,35.1,243.75,61.08,367.42,Maize
Maize,Saline,39.9,272.24,112.16,488.98,Rice
Soybean,Clayey,37.82,272.4,66.68,697.96,Potato
Soybean,Clayey,23.64,386.83,62.73,660.51,Corn
Peach,Loamy,34.96,272.43,64.74,476.9,Tomato
Rice,Clayey,29.96,189.46,69.44,686.2,Potato
Rice,Sandy,22.6,171.49,94.88,633.56,Soybean
Tomato,Saline,31.36,289.06,100.97,488.32,Rice
Peach,Sandy,21.87,362.17,75.57,607.56,Maize
Soybean,Saline,35.24,229.0,61.67,374.13,Chilli
Maize,Loamy,27.22,356.36,79.64,625.25,Peach
Chilli,Loamy,36.18,229.72,93.28,519.17,Tomato
Chilli,Sandy,33.65,286.78,70.17,304.72,Maize
Soybean,Loamy,37.57,353.29,111.97,455.64,Tomato
Soybean,Saline,23.72,244.7,59.82,355.18,Chilli
Corn,Loamy,32.9,232.99,66.85,662.6,Tomato
Tomato,Saline,37.28,168.94,53.16,469.79,Chilli
Rice,Saline,24.56,381.29,68.3,529.94,Rice
Tomato,Sandy,35.66,396.42,73.2,647.11,Maize
Rice,Saline,25.7,297.74,104.46,476.78,Rice
Corn,Loamy,36.31,354.46,58.41,692.2,Tomato
Tomato,Sandy,30.31,305.35,107.81,682.37,Soybean
Peach,Saline,33.32,230.77,109.1,328.82,Chilli
Potato,Saline,27.39,232.88,113.43,546.62,Chilli
Corn,Saline,36.52,326.92,94.26,306.52,Rice
Chilli,Sandy,22.46,320.09,102.41,482.93,Soybean
Soybean,Saline,23.87,396.63,72.81,408.56,Rice
Bell Pepper,Sandy,21.8,159.68,64.67,421.85,Maize
Potato,Loamy,38.99,334.94,56.08,603.4,Tomato
Maize,Sandy,29.33,288.37,84.45,550.79,Soybean
Chilli,Clayey,29.55,354.3,94.04,441.9,Potato
Rice,Clayey,26.03,153.72,110.85,494.92,Potato
Corn,Saline,29.39,331.44,106.12,566.01,Rice
Corn,Saline,24.7,206.34,81.46,577.42,Chilli
Rice,Clayey,39.03,278.46,110.69,646.12,Potato
Potato,Loamy,25.27,327.31,75.26,300.14,Rice
Potato,Sandy,38.51,351.45,67.0,667.02,Maize
Chilli,Clayey,29.76,334.24,63.24,441.76,Potato
Peach,Sandy,28.74,352.42,63.98,331.72,Maize
Tomato,Loamy,36.08,151.76,105.92,322.92,Bell Pepper
Peach,Loamy,29.89,253.86,109.44,444.63,Peach
Maize,Clayey,25.34,166.1,67.35,459.52,Potato
Peach,Saline,28.7,310.06,85.48,477.85,Rice
Corn,Loamy,28.79,211.14,116.71,632.76,Peach
Chilli,Loamy,25.9,153.41,94.58,651.87,Corn
Bell Pepper,Sandy,28.41,161.16,71.78,386.26,Maize
Soybean,Sandy,22.4,190.82,91.52,658.33,Soybean
Maize,Clayey,38.8,245.06,80.37,368.86,Corn
Bell Pepper,Clayey,32.8,292.11,93.4,457.42,Potato
Peach,Sandy,23.86,286.48,92.53,365.27,Soybean
Soybean,Loamy,35.79,353.69,111.44,383.2,Tomato
Bell Pepper,Saline,25.33,234.23,79.48,626.05,Chilli
Rice,Saline,31.93,211.14,88.98,528.54,Chilli
Maize,Clayey,38.29,341.23,95.94,546.38,Potato
Tomato,Sandy,35.31,255.32,63.68,525.75,Maize
Maize,Loamy,22.44,381.13,54.89,690.17,Corn
Soybean,Saline,30.92,240.19,99.41,479.23,Chilli
Bell Pepper,Saline,34.15,296.69,116.88,342.35,Rice
Soybean,Saline,24.04,339.48,63.26,667.7,Rice
Chilli,Loamy,22.01,303.44,100.75,458.23,Corn
Soybean,Loamy,22.96,397.91,61.82,529.59,Soybean
Potato,Clayey,39.26,238.99,88.13,596.11,Potato
Corn,Clayey,36.9,166.42,82.56,385.74,Corn
Peach,Sandy,37.16,246.96,68.81,400.86,Maize
Tomato,Sandy,24.92,185.05,118.44,461.74,Soybean
Corn,Sandy,31.16,174.94,109.96,620.98,Soybean
Potato,Sandy,29.75,353.76,114.7,398.99,Soybean
Rice,Sandy,36.69,232.65,72.0,460.01,Maize
Chilli,Clayey,28.43,225.25,108.52,610.62,Potato
Tomato,Loamy,30.76,200.98,58.41,424.74,Tomato
Chilli,Saline,31.62,394.4,55.75,368.33,Rice
Chilli,Loamy,27.43,188.71,75.81,550.21,Corn
Rice,Clayey,20.68,326.47,116.7,534.19,Potato
Rice,Saline,29.9,189.2,78.57,521.14,Chilli
Chilli,Saline,29.87,274.99,60.3,484.92,Rice
Rice,Loamy,20.82,283.28,86.64,343.53,Bell Pepper
Peach,Saline,29.73,360.4,113.74,673.06,Rice
Rice,Clayey,30.22,264.49,106.99,330.27,Corn
Corn,Saline,22.69,355.64,74.23,618.03,Rice
Soybean,Loamy,22.88,221.1,53.23,538.59,Bell Pepper
Bell Pepper,Loamy,38.73,199.11,103.32,388.35,Bell Pepper
Maize,Sandy,23.81,370.3,108.38,481.31,Soybean
Tomato,Clayey,26.24,201.59,114.91,562.42,Potato
Bell Pepper,Saline,25.95,337.15,71.95,364.24,Rice
Corn,Saline,33.15,173.5,62.62,545.61,Chilli
Chilli,Saline,32.84,221.67,116.19,473.13,Chilli
Bell Pepper,Loamy,38.25,181.14,96.05,521.55,Bell Pepper
Maize,Clayey,28.06,251.47,97.88,372.84,Corn
Potato,Saline,35.6,340.56,68.18,306.25,Rice
Tomato,Clayey,27.55,322.41,70.84,498.45,Potato
Rice,Saline,24.8,208.74,68.14,439.4,Chilli
Maize,Sandy,37.83,280.32,77.53,598.5,Maize
Soybean,Sandy,29.67,266.05,67.55,305.3,Maize
Rice,Sandy,27.81,336.46,55.41,668.58,Maize
Bell Pepper,Loamy,38.11,167.39,63.55,454.16,Bell Pepper
Chilli,Saline,38.79,335.51,83.07,382.44,Rice
Soybean,Loamy,29.03,200.99,58.75,650.81,Potato
Maize,Loamy,20.39,315.01,53.78,470.57,Maize
Rice,Loamy,20.65,174.42,103.51,500.27,Potato
Chilli,Sandy,32.18,335.66,71.47,361.96,Maize
Chilli,Clayey,37.04,325.99,53.67,414.48,Potato
Chilli,Clayey,37.5,217.33,72.57,677.06,Potato
Maize,Clayey,38.02,374.35,116.57,697.88,Potato
Corn,Saline,36.15,268.19,71.51,372.42,Rice
Chilli,Loamy,37.44,300.96,70.61,684.59,Tomato
Soybean,Loamy,36.83,216.43,72.33,325.54,Tomato
Rice,Saline,36.8,279.3,76.95,434.3,Rice
Potato,Loamy,26.55,160.31,84.21,677.4,Rice
Chilli,Clayey,27.87,204.8,56.89,370.58,Corn
Tomato,Loamy,26.34,185.87,119.79,522.11,Peach
Potato,Saline,23.09,199.36,83.15,627.07,Chilli
Potato,Saline,26.64,172.21,71.94,316.09,Chilli
Tomato,Clayey,38.15,225.77,108.85,406.3,Potato
Chilli,Loamy,39.42,356.73,102.22,639.14,Tomato
Tomato,Saline,23.01,285.35,68.85,530.03,Rice
Corn,Saline,33.24,289.77,101.88,327.26,Rice
Rice,Saline,39.34,260.61,80.52,323.0,Rice
Potato,Clayey,24.13,330.81,78.46,591.6,Maize
Tomato,Loamy,36.8,377.48,56.65,358.3,Tomato
Peach,Sandy,25.93,333.9,118.13,689.16,Soybean
Peach,Loamy,28.21,199.89,93.3,519.52,Bell Pepper
Rice,Clayey,38.33,170.2,97.64,469.73,Potato
Corn,Clayey,21.16,164.45,86.24,574.57,Maize
Chilli,Saline,28.97,366.26,107.37,667.21,Rice
Soybean,Saline,30.11,248.42,115.17,549.49,Chilli
Chilli,Clayey,38.02,171.23,84.46,439.63,Potato
Rice,Sandy,31.48,378.18,58.52,391.9,Maize
Bell Pepper,Sandy,38.9,249.8,113.11,371.12,Soybean
Rice,Clayey,26.36,358.33,57.01,382.55,Corn
Soybean,Saline,29.87,214.24,93.46,346.85,Chilli
Chilli,Clayey,20.45,211.41,111.73,390.13,Soybean
Maize,Saline,39.78,393.66,60.02,535.33,Rice
Corn,Saline,24.67,210.06,71.26,485.47,Chilli
Peach,Clayey,38.58,375.82,80.41,677.63,Potato
Peach,Loamy,28.0,250.46,56.23,584.23,Rice
Potato,Clayey,23.3,213.47,65.98,408.01,Corn
Bell Pepper,Loamy,28.4,271.03,85.84,428.01,Peach
Bell Pepper,Sandy,26.48,224.61,82.21,375.33,Soybean
Chilli,Saline,39.04,159.33,66.44,541.41,Chilli
Corn,Sandy,35.42,189.5,115.73,319.26,Soybean
Tomato,Saline,24.15,183.66,100.11,463.09,Chilli
Tomato,Saline,30.8,273.57,89.08,379.13,Rice
Tomato,Clayey,33.4,207.73,95.79,553.31,Potato
Maize,Saline,31.59,177.39,62.37,587.26,Chilli
Tomato,Sandy,38.33,155.21,73.96,627.63,Maize
Rice,Saline,22.26,199.02,68.17,504.96,Chilli
Tomato,Loamy,20.81,344.63,108.48,610.89,Maize
Tomato,Loamy,32.24,342.82,96.98,335.02,Tomato
Maize,Clayey,34.91,384.35,61.09,570.61,Potato
Peach,Clayey,36.19,309.57,67.42,403.53,Potato
Chilli,Saline,24.22,223.38,97.28,303.33,Chilli
Chilli,Sandy,23.8,288.65,79.21,481.28,Maize
Chilli,Clayey,36.77,248.64,110.79,482.68,Potato
Potato,Clayey,26.75,176.27,90.2,575.47,Potato
Corn,Clayey,33.19,191.01,61.55,638.58,Potato
Tomato,Loamy,23.02,328.07,86.76,326.5,Soybean
Chilli,Sandy,36.02,391.73,110.99,516.52,Soybean
Tomato,Clayey,39.22,316.74,69.92,453.27,Potato
Corn,Saline,39.43,318.52,76.89,491.26,Rice
Potato,Clayey,30.38,350.86,106.93,422.76,Potato
Chilli,Clayey,24.79,346.68,55.23,307.51,Maize
Chilli,Loamy,22.82,326.41,80.91,582.09,Peach
Soybean,Loamy,24.91,353.75,58.12,487.81,Potato
Soybean,Clayey,32.43,278.35,83.77,422.64,Potato
Peach,Sandy,28.72,185.85,100.73,329.31,Soybean
Soybean,Loamy,29.55,338.2,76.6,571.62,Potato
Bell Pepper,Clayey,29.49,206.2,119.61,375.78,Corn
Bell Pepper,Sandy,35.87,377.93,96.28,333.64,Soybean
Corn,Clayey,36.63,168.09,108.67,314.43,Corn
Rice,Sandy,20.28,186.71,88.88,617.82,Soybean
Chilli,Saline,38.36,262.23,87.02,425.89,Rice
Rice,Loamy,27.77,297.49,50.07,486.91,Potato
Rice,Saline,24.82,287.91,59.58,559.94,Rice
Chilli,Sandy,39.92,211.39,92.99,509.73,Soybean
Maize,Loamy,22.45,219.72,110.39,480.24,Tomato
Rice,Loamy,26.42,243.1,96.07,624.27,Corn
Soybean,Saline,38.14,252.53,98.34,349.74,Rice
Chilli,Sandy,29.51,357.1,85.99,650.67,Soybean
Potato,Loamy,38.52,161.41,119.19,511.06,Bell Pepper
Soybean,Sandy,24.83,349.33,106.76,444.5,Soybean
Maize,Sandy,28.15,378.29,103.22,373.08,Soybean
